State,Year,dni,precipitation,snowfall,temperature,windspeed,potential_hydro_cap,potential_hydro_gen,total_state_area,total_coal_consumption,total_natural_gas_consumption,prime_supplier_residual_oil
MD,2009,4.10667493137254,1355.8910447761193,629.9285714285714,12.931071428571428,32.142857142857146,189,1036,12406.0,9804743.0,196510.0,129.9
MD,2010,4.764458198039224,1081.1741935483872,1436.4615384615386,13.384,33.285714285714285,189,1036,12406.0,9845704.0,212020.0,110.9
MD,2011,4.367504653457172,1365.8460317460317,650.3636363636364,13.611785714285714,32.42857142857143,189,1036,12406.0,8917189.0,193986.0,0.0
MD,2012,4.654835886377701,1071.6265625,177.0,14.221739130434782,31.625,189,1036,12406.0,6929551.0,208946.0,0.0
MD,2013,4.474897822084627,1193.2109589041097,646.875,12.402083333333334,33.0,189,1036,12406.0,6789119.0,197356.0,0.0
MD,2014,4.550043330753346,1221.9,1368.0,12.0008,33.0,189,1036,12406.0,7410731.0,207103.0,0.0
MD,2015,4.47521981929824,1231.1373134328358,843.7058823529412,13.162222222222223,33.666666666666664,189,1036,12406.0,6036309.0,215005.0,0.0
MD,2016,4.8946377919504735,1093.157894736842,975.6875,13.5452,34.166666666666664,189,1036,12406.0,5992719.0,219024.0,0.0
MA,1998,4.42606448883375,1308.6163265306122,463.48936170212767,10.688,47.5,176,1012,10554.0,0.0,358846.0,1559.4
MA,1999,4.942987608436739,1136.1507936507937,924.7560975609756,10.571666666666667,37.9375,176,1012,10554.0,0.0,344790.0,977.7
MA,2000,4.459712193424317,1246.4532258064517,921.8536585365854,9.354615384615384,38.733333333333334,176,1012,10554.0,0.0,343314.0,1502.1
MA,2001,4.9532010018610535,1029.8295081967212,1636.025,10.145365853658536,35.05263157894737,176,1012,10554.0,4358823.0,349103.0,1099.2
MA,2002,4.631731986848632,1171.4354166666667,1307.7333333333333,10.175,36.333333333333336,176,1012,10554.0,4602830.0,393194.0,915.0
MA,2003,4.175791590694791,1307.864,1961.375,8.931290322580645,34.125,176,1012,10554.0,4389781.0,403991.0,1157.0
MA,2004,4.291235733746901,1162.1229166666667,968.75,9.095454545454546,37.27777777777778,176,1012,10554.0,4356545.0,372532.0,814.9
MA,2005,4.477667503598008,1413.6145833333333,2398.9285714285716,9.527073170731708,34.77777777777778,176,1012,10554.0,5024902.0,378068.0,727.8
MA,2006,4.180198539950365,1348.4826923076923,783.1818181818181,10.51775,36.31578947368421,176,1012,10554.0,4749689.0,370664.0,522.1
MA,2007,4.531176202729535,1120.4166666666667,1285.5365853658536,9.46560975609756,35.473684210526315,176,1012,10554.0,5120267.0,408704.0,461.2
MA,2008,4.2792953142679835,1465.8854545454546,1264.2619047619048,9.663409090909092,33.94736842105263,176,1012,10554.0,4580564.0,406719.0,221.3
MA,2009,4.200506237468983,1308.7017857142857,1407.175,9.074347826086957,32.705882352941174,176,1012,10554.0,3891564.0,395852.0,156.4
MA,2010,4.555890817741941,1306.9826086956523,965.8222222222222,10.536363636363637,35.411764705882355,176,1012,10554.0,3497164.0,432297.0,108.2
MA,2011,4.340218339330029,1464.6923076923076,1577.076923076923,10.019807692307692,33.8235294117647,176,1012,10554.0,1762583.0,449194.0,106.0
MA,2012,4.5671464021091825,1055.4060240963856,589.7058823529412,10.980357142857143,32.1578947368421,176,1012,10554.0,953803.0,416350.0,75.1
MA,2013,4.600168723325062,1158.1317647058825,1685.8823529411766,9.578245614035088,34.44444444444444,176,1012,10554.0,1718448.0,421001.0,127.1
MA,2014,4.472694805334985,1260.6084337349398,1386.9411764705883,9.154814814814815,36.388888888888886,176,1012,10554.0,1243802.0,421671.0,156.5
MA,2015,4.677826268858564,1041.7369047619047,2241.0,9.430769230769231,33.76470588235294,176,1012,10554.0,1005304.0,444332.0,119.6
MA,2016,5.024456579652615,958.3666666666667,1116.5833333333333,10.416415094339623,36.68421052631579,176,1012,10554.0,907029.0,427946.0,68.9
MI,1998,4.399697968170064,769.7284482758621,1216.844827586207,9.313493975903615,36.77777777777778,380,2407,96714.0,0.0,876444.0,33.8
